id,Ref,Sample,Category 1,Category 2,Category 3,Category 4,Rock,SiO2,TiO2,Al2O3,Cr2O3,V2O5,Fe2O3,FeO,MnO,MgO,CaO,ZnO,NiO,Na2O,K2O,Total,MgAl2O4,FeAl2O4,MnAl2O4,ZnAl2O4,MgFe2O4,FeFe2O4,MnFe2O4,ZnFe2O4,NiFe2O4,MgCr2O4,FeCr2O4,MnCr2O4,ZnCr2O4,NiCr2O4,MgV2O4,FeV2O4,MnV2O4,Mg2TiO4,Fe2TiO4,id_stone
30,101,SPPL 1,Alkali/lamprophyres,alkali basalt etc,,,LARGE TRAIN,0.36,0,62.1,0,0,4.490616465,14.96151643,0,17.3,0,0,0,0,0,99.21213289,5.647,2,0,0,0.261,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,101,SP 2,Alkali/lamprophyres,alkali basalt etc,,,AN 59,0.17,0.02,64.1,0,0,2.114619443,17.2983846,0,16.2,0,0,0,0,0,99.90300404,5.109,2.724,0,0,0.108,0.057,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,2
32,101,SP 3,Alkali/lamprophyres,alkali basalt etc,,,AN 59,0.11,0,63,0,0,2.996229279,16.70553646,0,16.3,0,0,0,0,0,99.11176574,5.238,2.526,0,0,0.159,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33,119,SP CR413,Alkali/lamprophyres,alkali basalt etc,,,OL.THOLEIITE,0,1.12,24.38,34.08,0,11.0532108,13.77902923,0.3,14.7,0,0,0,0,0,99.41224003,3.062,0.448,0.036,0,0.886,0.13,0.01,0,0,2.872,0.42,0.033,0,0,0,0,0,0.09,0.013,2
34,119,SP CR311,Alkali/lamprophyres,alkali basalt etc,,,OL.THOLEIITE,0,1.79,18.76,36.88,0,12.19512683,18.25214417,0.36,11.64,0,0,0,0,0,99.877271,2.093,0.734,0.037,0,0.869,0.305,0.015,0,0,2.76,0.968,0.048,0,0,0,0,0,0.127,0.045,2
35,119,SP CR432,Alkali/lamprophyres,alkali basalt etc,,,PIG.THOLEIITE,0,1.79,18.2,35.7,0,13.28258923,18.7840776,0.31,11.11,0,0,0,0,0,99.17666683,2.067,0.713,0.033,0,0.963,0.332,0.015,0,0,2.72,0.938,0.043,0,0,0,0,0,0.13,0.045,2
36,119,SP CR104,Alkali/lamprophyres,alkali basalt etc,,,ALK.OL.BASALT,0,0.87,17.37,45.88,0,8.402812183,13.4228455,0.38,14.29,0,0,0,0,0,100.6156577,2.064,0.475,0.031,0,0.638,0.147,0.01,0,0,3.658,0.842,0.055,0,0,0,0,0,0.066,0.015,2
37,119,SP CR104,Alkali/lamprophyres,alkali basalt etc,,,ALK.OL.BASALT,0,0.95,19.72,39.28,0,9.734169985,17.86555108,0.42,11.37,0,0,0,0,0,99.33972107,2.029,0.912,0.043,0,0.639,0.287,0.013,0,0,2.711,1.218,0.057,0,0,0,0,0,0.062,0.028,2
38,119,SP CR104,Alkali/lamprophyres,alkali basalt etc,,,ALK.OL.BASALT,0,4.37,13.62,34.01,0,15.06486631,21.79117548,0.48,10.12,0,0,0,0,0,99.45604179,1.505,0.687,0.041,0,1.063,0.485,0.029,0,0,2.522,1.151,0.068,0,0,0,0,0,0.308,0.141,2
39,119,SP CR104,Alkali/lamprophyres,alkali basalt etc,,,ALK.OL.BASALT,0,13.59,6.22,28.95,0,8.863884647,31.95855876,0.63,7.8,0,0,0,0,0,98.01244341,0.451,0.778,0.021,0,0.41,0.708,0.019,0,0,1.408,2.428,0.065,0,0,0,0,0,0.629,1.084,2
40,164,SP SAY-7E-6&,Alkali/lamprophyres,alkali basalt etc,,,1301&-7.11&10&,0,1.67,11.18,45.75,0,11.85956804,12.94672596,0.3,13.8,0,0,0,0,0,97.506294,1.603,0.148,0.02,0,1.086,0.1,0.013,0,0,4.401,0.407,0.054,0,0,0,0,0,0.153,0.014,2
41,164,SP SAY-7E-16&,Alkali/lamprophyres,alkali basalt etc,,,1234&-7.93&38.5&,0,1.85,11.58,47.22,0,8.453672652,13.48110281,0.3,13.37,0,0,0,0,0,96.25477546,1.477,0.364,0.019,0,0.688,0.17,0.009,0,0,4.039,0.996,0.051,0,0,0,0,0,0.151,0.037,2
42,164,SP SAY-7E-17&,Alkali/lamprophyres,alkali basalt etc,,,1201&-8.37&100&,0,1.82,10.92,47.64,0,9.681604081,15.09273774,0.31,12.59,0,0,0,0,0,98.05434182,1.34,0.381,0.019,0,0.759,0.216,0.011,0,0,3.922,1.115,0.055,0,0,0,0,0,0.143,0.041,2
43,164,SP BS-501-8A&,Alkali/lamprophyres,alkali basalt etc,,,1235&-7.92&168&,0,1.64,11.85,49.23,0,7.092392926,15.3975055,0.21,12.43,0,0,0,0,0,97.84989843,1.327,0.54,0.013,0,0.507,0.206,0.005,0,0,3.698,1.505,0.035,0,0,0,0,0,0.117,0.048,2
44,164,SP 94-08--4A&,Alkali/lamprophyres,alkali basalt etc,,,1137&-9.27&354&,0,8.47,16.89,9.14,0,25.68459877,30.38386443,0.47,6.82,0,0,0,0,0,97.8584632,1.846,1.104,0.072,0,1.793,1.072,0.07,0,0,0.67,0.401,0.026,0,0,0,0,0,0.591,0.353,2
45,164,SP 20421-13&,Alkali/lamprophyres,alkali basalt etc,,,1116&-9.59&323&,0,10.86,9.39,0.05,0,38.4786423,34.0195959,0.83,4.84,0,0,0,0,0,98.4682382,0.365,1.441,0.036,0,0.956,3.77,0.093,0,0,0.001,0.005,0,0,0,0,0,0,0.27,1.063,2
46,164,SP 20421-20&,Alkali/lamprophyres,alkali basalt etc,,,1092.5&-9.95&804&,0,11.56,10.93,0.04,0,34.40314574,35.03232378,0.84,4.55,0,0,0,0,0,97.35546952,1.366,0.687,0.143,0,2.746,1.38,0.288,0,0,0.003,0.002,0,0,0,0,0,0,0.922,0.463,2
47,164,SP K-8-16&,Alkali/lamprophyres,alkali basalt etc,,,1234&-7.93&38.5&,0,1.91,37.31,20.05,0,9.623708715,12.84572289,0.2,17.11,0,0,0,0,0,99.0494316,4.49,0.616,0.03,0,0.739,0.101,0.005,0,0,1.619,0.222,0.011,0,0,0,0,0,0.147,0.02,2
48,164,SP K-8-17&,Alkali/lamprophyres,alkali basalt etc,,,1201&-8.37&100&,0,1.48,45.63,13.51,0,7.605922891,14.18960211,0.18,16.98,0,0,0,0,0,99.575525,4.833,1.173,0.029,0,0.514,0.125,0.003,0,0,0.96,0.233,0.006,0,0,0,0,0,0.1,0.024,2
49,164,SP K-8-15&,Alkali/lamprophyres,alkali basalt etc,,,1149&-9.09&217&,0,17.64,9.06,1.08,0,26.06813744,36.41915972,0.4,7.59,0,0,0,0,0,98.25729715,0.972,0.931,0.029,0,1.785,1.711,0.053,0,0,0.078,0.074,0.002,0,0,0,0,0,1.207,1.157,2
50,164,SP K-8-19&,Alkali/lamprophyres,alkali basalt etc,,,1121&-9.51&312&,0,22.22,6.85,1.54,0,20.32501176,41.99778612,0.47,6.84,0,0,0,0,0,100.2427979,0.527,1.025,0.021,0,0.998,1.941,0.039,0,0,0.079,0.155,0.003,0,0,0,0,0,1.091,2.121,2
